Gene Set	AUC	p-value	FDR	Rank
SA_DAG1	0.825312	0.001	0.037286	1
g2Pathway	0.868093	0.001	0.037286	1
P53_UP	0.83779	0.001	0.037286	1
drug_resistance_and_metabolism	0.850267	0.001	0.037286	1
radiation_sensitivity	0.85205	0.001	0.037286	1
cell_cycle_regulator	0.871658	0.001	0.037286	1
SA_G1_AND_S_PHASES	0.864528	0.001	0.037286	1
cellcyclePathway	0.853832	0.001	0.037286	1
p53Pathway	0.878788	0.001	0.037286	1
p53hypoxiaPathway	0.86631	0.001	0.037286	1
raccycdPathway	0.894831	0.001	0.037286	1
g1Pathway	0.83779	0.001	0.037286	1
DNA_DAMAGE_SIGNALLING	0.818182	0.001	0.037286	1
ceramidePathway	0.832442	0.001	0.037286	1
eponfkbPathway	0.814617	0.002	0.058	15
atmPathway	0.811052	0.002	0.058	15
Cell_Cycle	0.789661	0.002	0.058	15
p53_signalling	0.789661	0.002	0.058	15
CR_CELL_CYCLE	0.771836	0.003	0.068087	19
SA_TRKA_RECEPTOR	0.803922	0.003	0.068087	19
SA_PROGRAMMED_CELL_DEATH	0.796791	0.003	0.068087	19
breast_cancer_estrogen_signalling	0.762923	0.003	0.068087	19
mitochondriaPathway	0.802139	0.003	0.068087	19
nkcellsPathway	0.791444	0.005	0.100385	24
calcineurinPathway	0.786096	0.005	0.100385	24
ck1Pathway	0.778966	0.005	0.100385	24
chemicalPathway	0.771836	0.006	0.111857	27
ST_Dictyostelium_discoideum_cAMP_Chemotaxis_Pathway	0.791444	0.006	0.111857	27
bcl2family_and_reg_network	0.766488	0.007	0.1218	29
hsp27Pathway	0.762923	0.007	0.1218	29
SA_G2_AND_M_PHASES	0.768271	0.008	0.13471	31
PROLIF_GENES	0.620321	0.009	0.146812	32
CR_DEATH	0.727273	0.012	0.189818	33
badPathway	0.745098	0.013	0.199588	34
CR_IMMUNE_FUNCTION	0.709447	0.014	0.206053	35
il4Pathway	0.734403	0.015	0.206053	36
GATA1_WEISS	0.730838	0.015	0.206053	36
appPathway	0.727273	0.015	0.206053	36
GLUT_UP	0.622103	0.016	0.2088	39
rasPathway	0.727273	0.016	0.2088	39
pgc1aPathway	0.720143	0.018	0.229171	41
LEU_UP	0.686275	0.02	0.248571	42
cell_cycle_arrest	0.73975	0.021	0.25493	43
tnf_and_fas_network	0.7041	0.024	0.284727	44
gleevecPathway	0.695187	0.032	0.3712	45
SA_FAS_SIGNALLING	0.713012	0.033	0.374478	46
KRAS_TOP100_KNOCKDOWN	0.668449	0.036	0.39983	47
bbcellPathway	0.695187	0.039	0.415469	48
eif2Pathway	0.695187	0.039	0.415469	48
MAPK_Cascade	0.684492	0.04	0.4176	50
cxcr4Pathway	0.680927	0.043	0.436582	51
hivnefPathway	0.661319	0.044	0.436582	52
EMT_UP	0.659537	0.045	0.436582	53
MAP00361_gamma_Hexachlorocyclohexane_degradation	0.698752	0.046	0.436582	54
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	0.69697	0.046	0.436582	54
ST_Interleukin_4_Pathway	0.672014	0.054	0.503357	56
ace2Pathway	0.668449	0.056	0.512842	57
pelp1Pathway	0.677362	0.057	0.513	58
ca_nf_at_signalling	0.625668	0.058	0.513153	59
arfPathway	0.663993	0.059	0.5133	60
SIG_CD40PATHWAYMAP	0.673797	0.061	0.522	61
asbcellPathway	0.663102	0.062	0.522	62
dreamPathway	0.659537	0.065	0.529909	63
cdk5Pathway	0.655971	0.066	0.529909	64
ST_Fas_Signaling_Pathway	0.639929	0.066	0.529909	64
MAP00630_Glyoxylate_and_dicarboxylate_metabolism	0.668449	0.067	0.529909	66
Krebs-TCA_Cycle	0.650624	0.073	0.559286	67
FRASOR_ER_UP	0.659537	0.073	0.559286	67
MYC_WT	0.655971	0.074	0.559286	69
malatexPathway	0.654189	0.075	0.559286	70
NFKB_REDUCED	0.639037	0.081	0.58725	71
tcapoptosisPathway	0.641711	0.081	0.58725	71
DOWNREG_BY_HOXA9	0.647059	0.087	0.61248	73
TCA	0.631016	0.088	0.61248	74
ucalpainPathway	0.629234	0.088	0.61248	74
cdc25Pathway	0.636364	0.094	0.645632	76
BRCA_UP	0.625668	0.101	0.681146	77
CR_PROTEIN_MOD	0.550802	0.102	0.681146	78
cell_cycle_checkpointII	0.623886	0.105	0.681146	79
cytokinePathway	0.616756	0.106	0.681146	80
lairPathway	0.616756	0.106	0.681146	80
glycolysisPathway	0.620321	0.107	0.681146	82
reelinPathway	0.614973	0.11	0.685765	83
CR_TRANSCRIPTION_FACTORS	0.5918	0.113	0.685765	84
