	AUC	p.value	FDR	Rank
HALLMARK_P53_PATHWAY	0.786507936507936	0.002	0.05	1
HALLMARK_ALLOGRAFT_REJECTION	0.734523809523809	0.002	0.05	1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.712698412698413	0.003	0.05	3
HALLMARK_APOPTOSIS	0.594047619047619	0.013	0.1625	4
HALLMARK_SPERMATOGENESIS	0.596428571428571	0.044	0.4	5
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.576587301587302	0.058	0.4	6
HALLMARK_HEDGEHOG_SIGNALING	0.607539682539682	0.063	0.4	7
HALLMARK_ANGIOGENESIS	0.594047619047619	0.071	0.4	8
HALLMARK_COAGULATION	0.513492063492063	0.072	0.4	9
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.522619047619048	0.132	0.570833333333333	10
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.520238095238095	0.135	0.570833333333333	11
HALLMARK_HYPOXIA	0.471428571428571	0.137	0.570833333333333	12
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.465079365079365	0.177	0.647058823529412	13
HALLMARK_APICAL_SURFACE	0.539285714285714	0.21	0.647058823529412	14
HALLMARK_FATTY_ACID_METABOLISM	0.463095238095238	0.211	0.647058823529412	15
HALLMARK_PROTEIN_SECRETION	0.473412698412698	0.213	0.647058823529412	16
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.488888888888889	0.22	0.647058823529412	17
HALLMARK_KRAS_SIGNALING_UP	0.453968253968254	0.255	0.708333333333333	18
HALLMARK_PEROXISOME	0.454761904761905	0.286	0.7275	19
HALLMARK_G2M_CHECKPOINT	0.441865079365079	0.291	0.7275	20
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.475793650793651	0.314	0.747619047619048	21
HALLMARK_ESTROGEN_RESPONSE_LATE	0.432142857142857	0.355	0.783928571428571	22
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.418253968253968	0.389	0.783928571428571	23
HALLMARK_MYOGENESIS	0.416269841269841	0.403	0.783928571428571	24
HALLMARK_INFLAMMATORY_RESPONSE	0.424603174603175	0.405	0.783928571428571	25
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.422222222222222	0.422	0.783928571428571	26
HALLMARK_MYC_TARGETS_V1	0.412698412698413	0.43	0.783928571428571	27
HALLMARK_TGF_BETA_SIGNALING	0.445238095238095	0.439	0.783928571428571	28
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.407936507936508	0.473	0.788333333333333	29
HALLMARK_GLYCOLYSIS	0.413888888888889	0.473	0.788333333333333	29
HALLMARK_UV_RESPONSE_DN	0.412698412698413	0.511	0.824193548387097	31
HALLMARK_KRAS_SIGNALING_DN	0.403968253968254	0.557	0.860294117647059	32
HALLMARK_MYC_TARGETS_V2	0.418650793650794	0.58	0.860294117647059	33
HALLMARK_UV_RESPONSE_UP	0.396825396825397	0.585	0.860294117647059	34
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.396031746031746	0.621	0.887142857142857	35
HALLMARK_ANDROGEN_RESPONSE	0.392857142857143	0.646	0.897222222222222	36
HALLMARK_MTORC1_SIGNALING	0.377777777777778	0.678	0.916216216216216	37
HALLMARK_DNA_REPAIR	0.381349206349206	0.702	0.923684210526316	38
HALLMARK_IL2_STAT5_SIGNALING	0.373412698412698	0.734	0.926744186046512	39
HALLMARK_COMPLEMENT	0.372222222222222	0.743	0.926744186046512	40
HALLMARK_MITOTIC_SPINDLE	0.368650793650794	0.776	0.926744186046512	41
HALLMARK_APICAL_JUNCTION	0.365079365079365	0.784	0.926744186046512	42
HALLMARK_BILE_ACID_METABOLISM	0.369444444444444	0.797	0.926744186046512	43
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.366666666666667	0.831	0.935869565217391	44
HALLMARK_NOTCH_SIGNALING	0.359126984126984	0.85	0.935869565217391	45
HALLMARK_ADIPOGENESIS	0.349206349206349	0.861	0.935869565217391	46
HALLMARK_XENOBIOTIC_METABOLISM	0.335714285714286	0.907	0.957291666666667	47
HALLMARK_HEME_METABOLISM	0.331349206349206	0.919	0.957291666666667	48
HALLMARK_E2F_TARGETS	0.312301587301587	0.957	0.958	49
HALLMARK_PANCREAS_BETA_CELLS	0.314285714285714	0.958	0.958	50
